station,name,lat,lon,"last date",sum,02/24/2021,02/25/2021,02/26/2021,02/27/2021,02/28/2021,03/01/2021,03/02/2021
88119,"ACHERON RIVER @ TAGGERTY",-37.3167,145.7167,03/02/2021,0,0,0,0,0,0,0,0
90180,"AIREYS INLET",-38.4583,144.0883,03/02/2021,2.2,1.4,0,0.6,0,0,0,0.2
83095,"ANGLERS REST (BUNDARRAH VALLEY)",-37.0004,147.4110,03/02/2021,0,0,0,0,0,0,0,0
76000,ANNUELLO,-34.8497,142.7807,03/02/2021,0,0,0,0,0,0,0,0
79071,"APSLEY (POST OFFICE)",-36.9681,141.0834,03/02/2021,0.5,0,0,0.5,0,0,0,0
89085,"ARARAT PRISON",-37.2769,142.9786,03/02/2021,1.2,0,0,1.2,0,0,0,0
83000,ARCHERTON,-36.9064,146.2389,03/02/2021,0.2,0,0,0.2,0,0,0,0
87113,"AVALON AIRPORT",-38.0288,144.4783,03/02/2021,0.6,0.4,0,0.2,0,0,0,0
81063,AVOCA,-37.0833,143.4833,03/02/2021,0,0,0,0,0,0,0,0
85276,"AVON RIVER @ THE CHANNEL",-37.8039,146.8842,03/02/2021,1.4,0.8,0.2,0.2,0.2,0,0,0
84147,"BAIRNSDALE (MITCHELL RIVER @ ROSEHILL)",-37.8164,147.5714,03/02/2021,0.8,0.2,0,0.4,0.2,0,0,0
85279,"BAIRNSDALE AIRPORT",-37.8818,147.5669,03/02/2021,0.4,0,0,0.4,0,0,0,0
83077,"BALD HILL",-37.0322,146.3508,03/02/2021,0,0,0,0,0,0,0,0
87006,BALLAN,-37.6018,144.2295,03/02/2021,2.8,0,0,2.8,0,0,0,0
89002,"BALLARAT AERODROME",-37.5127,143.7911,03/02/2021,1,0,0,1,0,0,0,0
89003,"BALMORAL (POST OFFICE)",-37.2472,141.8415,03/02/2021,0,0,0,0,0,0,0,0
85007,BALOOK,-38.4307,146.5398,03/02/2021,8,0,0.2,6,0,0,0.2,1.6
87147,"BANNOCKBURN (HILLSIDE)",-38.0428,144.2129,03/02/2021,0,0,0,0,0,0,0,0
82000,BARNAWARTHA,-36.1135,146.6841,03/02/2021,0,0,0,0,0,0,0,0
87135,"BARWON HEADS GOLF CLUB",-38.2830,144.4784,03/02/2021,3,1,0,2,0,0,0,0
89005,BEAUFORT,-37.4483,143.3657,03/02/2021,2,0,0,2,0,0,0,0
89082,"BEAUFORT (SHEEPWASH)",-37.5042,143.2792,03/02/2021,0,0,0,0,0,0,0,0
90005,"BEEAC (POST OFFICE)",-38.1954,143.6399,03/02/2021,0,0,0,0,0,0,0,0
82170,"BENALLA AIRPORT",-36.5522,145.9977,03/02/2021,0,0,0,0,0,0,0,0
81123,"BENDIGO AIRPORT",-36.7411,144.3275,03/02/2021,0,0,0,0,0,0,0,0
90188,BENWERRIN,-38.4831,143.9142,03/02/2021,3,0.6,0,1.4,0,0,0,1
87017,BLACKWOOD,-37.4677,144.3075,03/02/2021,1.5,0,0,0,1.5,0,0,0
82166,"BLOOMFIELD PARK (EVERTON)",-36.4186,146.5572,03/02/2021,0,0,0,0,0,0,0,0
